"Slider.v1.0.20","Unity.v2022.3.62f3","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"Map/Tiles/Programming Tile 1/Objects/Alien Commander/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Programming Tile 1/Objects/Alien Commander/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Programming Tile 1/Objects/Commander/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Programming Tile 1/Objects/Commander/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Programming Tile 1/Objects/Private/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Programming Tile 1/Objects/Private/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Programming Tile 1/Objects/Robot/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Programming Tile 1/Objects/Robot/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Programming Tile 1/Objects/Sergeant/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Programming Tile 1/Objects/Sergeant/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text (1)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text (1)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text (1)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text (1)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text (1)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text (1)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text (1)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text (1)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/Sara/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Sara Max Tile/Sara/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (1)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (1)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (1)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (1)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (2)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (2)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (2)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (2)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (3)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (3)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (3)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (3)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Special Thanks Tile/Objects/Alchemist Muta/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Special Thanks Tile/Objects/Alchemist Muta/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Special Thanks Tile/Objects/Fezziwig/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Special Thanks Tile/Objects/Fezziwig/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Special Thanks Tile/Objects/House1 bot right/Carly/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Special Thanks Tile/Objects/House1 bot right/Carly/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Special Thanks Tile/Objects/Hungry Worker/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Special Thanks Tile/Objects/Hungry Worker/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text (1)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text (1)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text (1)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text (1)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
